_key,id,nome,porcao,base_unit,category_id,proteina,attributes/protein/unit,lipidio,attributes/lipid/unit,carboidrato,attributes/carbohydrate/unit,sodio,attributes/sodium/unit,caloria,attributes/energy/kj
0,1,"Arroz, integral, cozido",100,g,1,2.58825,g,1.00033333333333,g,25.80975,g,1.24466666666667,mg,123.5348925,516.86999022
1,2,"Arroz, integral, cru",100,g,1,7.32328586956522,g,1.86483333333333,g,77.4507141304348,g,1.64566666666667,mg,359.678002032609,1504.89276050444
2,3,"Arroz, tipo 1, cozido",100,g,1,2.52081666666667,g,0.227,g,28.05985,g,1.20066666666667,mg,128.258485666667,536.633504029333
3,4,"Arroz, tipo 1, cru",100,g,1,7.15853985507246,g,0.335,g,78.7595434782609,g,1.01916666666667,mg,357.789273115942,1496.9903187171
4,5,"Arroz, tipo 2, cozido",100,g,1,2.56841666666667,g,0.361666666666667,g,28.1925833333333,g,1.95966666666667,mg,130.119648333333,544.420608626667
5,6,"Arroz, tipo 2, cru",100,g,1,7.24188297101449,g,0.2755,g,78.8814503623188,g,0.568833333333333,mg,358.116761456522,1498.36052993409
6,7,"Aveia, flocos, crua",100,g,1,13.9210260869565,g,8.49666666666667,g,66.6356405797102,g,4.62666666666667,mg,393.822689449275,1647.75413265577
7,8,"Biscoito, doce, maisena",100,g,1,8.07252173913043,g,11.9666666666667,g,75.2341449275362,g,352.026666666667,mg,442.819390144928,1852.75632836638
8,9,"Biscoito, doce, recheado com chocolate",100,g,1,6.39721739130435,g,19.5833333333333,g,70.5494492753623,g,239.2,mg,471.824779710145,1974.11487830725
9,10,"Biscoito, doce, recheado com morango",100,g,1,5.71982608695652,g,19.5733333333333,g,71.0135072463768,g,229.816666666667,mg,471.174736231884,1971.3950963942
10,11,"Biscoito, doce, wafer, recheado de chocolate",100,g,1,5.56452173913044,g,24.6733333333333,g,67.5354782608696,g,137.24,mg,502.456857971014,2102.27949375072
